2026-09-23T16:38:33Z INFO Logging to /tmp/logs/update_2026-09-23T16-38-33Z.log.
2026-09-23T16:38:33Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-23T16:38:33Z INFO Processing 369 items (55049 already recorded).
2026-09-23T16:50:54Z INFO [143/369] 1153e014-fa5e-4dea-bb68-d08538c35923: 48 datasets; 0.7 s; peak memory 271 MiB.
2026-09-23T16:50:55Z INFO [144/369] 11540b90-7b4a-46bf-8fed-3ee910d2e11d: 48 datasets; 0.9 s; peak memory 271 MiB.
2026-09-23T16:50:56Z INFO [145/369] 11554ed8-8110-42f8-a221-91d6c77b36d5: 48 datasets; 0.9 s; peak memory 271 MiB.
2026-09-23T16:50:57Z INFO [146/369] 11561752-c1d5-4577-a599-c4323546f151: 48 datasets; 0.8 s; peak memory 271 MiB.
2026-09-23T16:50:59Z INFO [147/369] 115629f2-88c8-40c5-8d0a-ae7753022aee: 84 datasets; 2.1 s; peak memory 271 MiB.
2026-09-23T16:50:59Z INFO [148/369] 115729c9-1608-4365-bc60-1b763c5cecc8: 116 datasets; 0.8 s; peak memory 271 MiB.
2026-09-23T16:51:00Z INFO [149/369] 1157395f-7df7-4599-96e9-5c9515f46039: 50 datasets; 0.9 s; peak memory 271 MiB.
2026-09-23T16:51:01Z INFO [150/369] 1157a182-1fef-4069-8ea6-36948293342a: 112 datasets; 1.0 s; peak memory 271 MiB.
2026-09-23T16:51:01Z INFO [150/369] 1157a182-1fef-4069-8ea6-36948293342a: checkpointed 55199 records.
2026-09-23T16:51:02Z INFO [151/369] 1157cbf6-5cc9-4518-8112-28a6d9c830ee: 45 datasets; 1.0 s; peak memory 271 MiB.
2026-09-23T16:51:04Z INFO [152/369] 1157f7f8-c5de-4698-a26f-aaf29d410e78: 71 datasets; 1.3 s; peak memory 271 MiB.
2026-09-23T16:51:10Z INFO [153/369] 1158bb7b-769a-4f15-85be-6cb204a9a663: 244 datasets; 6.3 s; peak memory 271 MiB.
2026-09-23T16:51:11Z INFO [154/369] 11596081-0863-49ad-87c4-4436233caf78: 121 datasets; 0.7 s; peak memory 271 MiB.
2026-09-23T16:51:21Z INFO [155/369] 115a6769-135c-41f8-82b3-44312a41285b: 810 datasets; 10.3 s; peak memory 271 MiB.
2026-09-23T16:51:22Z INFO [156/369] 115b1568-9f8f-471b-8eea-5c4c58957f66: 48 datasets; 0.7 s; peak memory 271 MiB.
2026-09-23T16:51:22Z INFO [157/369] 115b488c-c296-4a37-89e7-70ac972ce00d: 56 datasets; 0.4 s; peak memory 271 MiB.
2026-09-23T16:51:28Z INFO [158/369] 115bb519-5535-4d32-aaff-d83c3f43195a: 638 datasets; 6.0 s; peak memory 271 MiB.
2026-09-23T16:51:32Z INFO [159/369] 115bcfd3-c891-4c04-89d3-c81492de6d31: 538 datasets; 3.5 s; peak memory 271 MiB.
2026-09-23T16:51:32Z INFO [160/369] 115c05a6-b8e1-4c04-964f-d7ee0a09a473: 48 datasets; 0.8 s; peak memory 271 MiB.
2026-09-23T16:51:33Z INFO [161/369] 115dc2ae-557e-45a4-a3da-06e0bb4cbd11: 48 datasets; 0.8 s; peak memory 271 MiB.
2026-09-23T16:51:36Z INFO [162/369] 115e1944-1eab-4185-b74f-61cf13280511: 468 datasets; 2.9 s; peak memory 271 MiB.
2026-09-23T16:51:46Z INFO [163/369] 115e3191-0593-41d9-aaf2-aba9a5112af9: 876 datasets; 10.2 s; peak memory 271 MiB.
2026-09-23T16:51:47Z INFO [164/369] 1160d91e-1081-4359-abbc-471c625ff3b4: 289 datasets; 0.9 s; peak memory 271 MiB.
2026-09-23T16:51:49Z INFO [165/369] 1160f0ae-2d4c-45eb-90dc-e294fc026465: 115 datasets; 2.0 s; peak memory 271 MiB.
2026-09-23T16:51:55Z INFO [166/369] 116200c1-7c0c-4a5e-9818-b03680c5f757: 65 datasets; 5.9 s; peak memory 271 MiB.
2026-09-23T16:51:59Z INFO [167/369] 11627e66-1657-46f5-8760-2283ca17ddec: 559 datasets; 3.6 s; peak memory 271 MiB.
2026-09-23T16:51:59Z INFO [168/369] 1162b4bd-8fde-4cd9-9921-3119b6654b2f: 48 datasets; 0.7 s; peak memory 271 MiB.
2026-09-23T16:52:00Z INFO [169/369] 1162b9c7-57dd-4b4f-9a12-e72be07bb0b4: 48 datasets; 0.7 s; peak memory 271 MiB.
2026-09-23T16:52:02Z INFO [170/369] 116318c7-7603-4f9f-a033-0fd0de2b7dd0: 197 datasets; 2.1 s; peak memory 271 MiB.
2026-09-23T16:52:03Z INFO [171/369] 11633790-4a12-444e-9b48-2a7ec8967b57: 48 datasets; 0.7 s; peak memory 271 MiB.
2026-09-23T16:52:04Z INFO [172/369] 1164308b-9274-4642-9126-2a29cc298840: 48 datasets; 0.8 s; peak memory 271 MiB.
2026-09-23T16:52:07Z INFO [173/369] 11644031-fe25-4bbd-867b-50a29f33e339: 601 datasets; 3.7 s; peak memory 271 MiB.
