2026-09-20T22:20:21Z INFO Logging to /tmp/logs/update_2026-09-20T22-20-21Z.log.
2026-09-20T22:20:21Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-20T22:20:21Z INFO Processing 369 items (52130 already recorded).
2026-09-20T22:55:41Z INFO [139/369] 0b4c7afe-a47c-4b90-a83d-0d836f556bf3: 71 datasets; 1.0 s; peak memory 1123 MiB.
2026-09-20T22:55:41Z INFO [140/369] 0b4ca8a8-4100-4b24-b752-c8d961441986: 113 datasets; 0.9 s; peak memory 1123 MiB.
2026-09-20T22:55:42Z INFO [141/369] 0b4cd329-30b8-4dc4-a799-409149521d7d: 48 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:55:50Z INFO [142/369] 0b4d0989-9193-46eb-b500-2f56b1416880: 41 datasets; 8.3 s; peak memory 1123 MiB.
2026-09-20T22:55:51Z INFO [143/369] 0b4d690c-ddd9-4d95-80aa-1a6d9a23c907: 112 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:55:52Z INFO [144/369] 0b4d7b8d-ce40-42d3-872d-68495a72d88f: 117 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:55:52Z INFO [145/369] 0b4e843b-4878-447a-9a56-42b85d927027: 114 datasets; 0.7 s; peak memory 1123 MiB.
2026-09-20T22:55:57Z INFO [146/369] 0b4eb1a8-a10b-4b55-8d3d-0969f1824364: 800 datasets; 4.7 s; peak memory 1123 MiB.
2026-09-20T22:55:58Z INFO [147/369] 0b4ec03d-d338-4459-a0ee-7b3e70f289e4: 62 datasets; 0.8 s; peak memory 1123 MiB.
2026-09-20T22:55:58Z INFO [148/369] 0b4f67e6-7a1a-44a9-9492-523ca7a487bb: 117 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:55:59Z INFO [149/369] 0b4fc9ac-ed67-4cf0-8968-12c5a09464eb: 48 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:56:00Z INFO [150/369] 0b4ff4f0-04e4-4288-a4fc-281d5dd91c8b: 48 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:56:00Z INFO [150/369] 0b4ff4f0-04e4-4288-a4fc-281d5dd91c8b: checkpointed 52280 records.
2026-09-20T22:56:01Z INFO [151/369] 0b5058e9-4f6e-45e9-a011-6385e2cedf2c: 154 datasets; 1.6 s; peak memory 1123 MiB.
2026-09-20T22:56:02Z INFO [152/369] 0b522057-6c77-451e-9fde-e86f2ac2e7d5: 117 datasets; 0.7 s; peak memory 1123 MiB.
2026-09-20T22:56:03Z INFO [153/369] 0b52fdb6-6afd-4611-a1c9-5798860fe16a: 119 datasets; 0.9 s; peak memory 1123 MiB.
2026-09-20T22:56:04Z INFO [154/369] 0b5331d5-8e87-427e-b82e-d39280ad3fbd: 61 datasets; 0.5 s; peak memory 1123 MiB.
2026-09-20T22:56:04Z INFO [155/369] 0b54270a-b8fe-4951-a6ba-d6dfac362c50: 111 datasets; 0.8 s; peak memory 1123 MiB.
2026-09-20T22:56:16Z INFO [156/369] 0b54dadc-af2b-48cc-8668-cd18002f8d64: 48 datasets; 12.1 s; peak memory 1123 MiB.
2026-09-20T22:56:21Z INFO [157/369] 0b553f93-b41d-4d48-bcb2-f6007e647272: 830 datasets; 4.5 s; peak memory 1123 MiB.
2026-09-20T22:56:28Z INFO [158/369] 0b554ee0-0eb4-41fc-b22c-08f9ba4ec21a: 866 datasets; 6.6 s; peak memory 1123 MiB.
2026-09-20T22:56:28Z INFO [159/369] 0b558a53-7c9a-4dcf-9539-abb8bc83becb: 117 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:56:29Z INFO [160/369] 0b55e872-bb10-49bf-9eb5-6d8be88918d8: 112 datasets; 0.9 s; peak memory 1123 MiB.
2026-09-20T22:56:30Z INFO [161/369] 0b55f996-7eda-4cde-b042-f8ce861274bb: 117 datasets; 0.7 s; peak memory 1123 MiB.
2026-09-20T22:56:31Z INFO [162/369] 0b561c45-9c92-4794-bdea-b04f9facb9bb: 64 datasets; 1.0 s; peak memory 1123 MiB.
2026-09-20T22:56:31Z INFO [163/369] 0b56ac38-2d27-4129-9e5f-4daa17428719: 174 datasets; 0.7 s; peak memory 1123 MiB.
2026-09-20T22:56:32Z INFO [164/369] 0b56fc97-342e-4ff7-922b-34e73e88abd1: 48 datasets; 0.5 s; peak memory 1123 MiB.
2026-09-20T22:56:33Z INFO [165/369] 0b572e5d-fb3d-4282-8fc7-28ccbfc66f1f: 118 datasets; 0.7 s; peak memory 1123 MiB.
2026-09-20T22:56:33Z INFO [166/369] 0b5764d3-a823-4886-8958-27f519b9bcc5: 48 datasets; 0.6 s; peak memory 1123 MiB.
2026-09-20T22:56:34Z INFO [167/369] 0b578e34-101c-4a62-9814-ce73dc0ea2f4: 112 datasets; 0.9 s; peak memory 1123 MiB.
2026-09-20T22:56:35Z INFO [168/369] 0b585bcf-164f-4f1d-8a2d-85c661a1d03a: 48 datasets; 0.6 s; peak memory 1123 MiB.
