2026-09-17T16:44:42Z INFO Logging to /tmp/logs/update_2026-09-17T16-44-42Z.log.
2026-09-17T16:44:42Z INFO Update valid-nwb-file-to-number-of-datasets (base directory /tmp).
2026-09-17T16:44:42Z INFO Processing 500 items (48030 already recorded).
2026-09-17T17:11:31Z INFO [117/500] 028dfba3-b9bc-4f66-8875-e101935eecf3: 117 datasets; 1.0 s; peak memory 1306 MiB.
2026-09-17T17:11:32Z INFO [118/500] 028e5921-08e8-4dc6-8dd5-e536a8f320fb: 71 datasets; 1.6 s; peak memory 1306 MiB.
2026-09-17T17:11:33Z INFO [119/500] 028ead3b-09ae-4b5f-9697-c51638a55c9c: 48 datasets; 0.9 s; peak memory 1306 MiB.
2026-09-17T17:11:34Z INFO [120/500] 028ef11f-c970-4265-8ab7-83172c4be6aa: 48 datasets; 0.8 s; peak memory 1306 MiB.
2026-09-17T17:11:35Z INFO [121/500] 028fc389-ac38-4662-b310-efd45233854f: 46 datasets; 0.8 s; peak memory 1306 MiB.
2026-09-17T17:11:41Z INFO [122/500] 02905b08-b0de-402c-a7db-e62e49f05671: 548 datasets; 5.8 s; peak memory 1306 MiB.
2026-09-17T17:11:41Z INFO [123/500] 0290f830-5dad-4a54-81f3-fd456cd54b17: 48 datasets; 0.9 s; peak memory 1306 MiB.
2026-09-17T17:11:44Z INFO [124/500] 0290fa92-2465-4fed-8343-9bb5c1bc9974: 240 datasets; 2.1 s; peak memory 1306 MiB.
2026-09-17T17:11:44Z INFO [125/500] 0291822b-1a0b-4ce3-bef3-c4eb937ab88e: 48 datasets; 0.9 s; peak memory 1306 MiB.
2026-09-17T17:11:45Z INFO [126/500] 0291edda-91e2-4268-b7c4-453a5550909e: 52 datasets; 0.9 s; peak memory 1306 MiB.
2026-09-17T17:11:51Z INFO [127/500] 029295d9-7ab6-49d9-af94-d28f2b3bbde5: 56 datasets; 5.1 s; peak memory 1306 MiB.
2026-09-17T17:11:51Z INFO [128/500] 02935dd8-b9a1-4625-8c3a-f8f14ff0e25e: 45 datasets; 0.6 s; peak memory 1306 MiB.
2026-09-17T17:11:56Z INFO [129/500] 02937297-72ad-4c19-8e02-f0bc9d9f5c0f: 829 datasets; 4.7 s; peak memory 1306 MiB.
2026-09-17T17:11:57Z INFO [130/500] 02938ebc-1379-4389-af75-d487d29f0a27: 112 datasets; 1.5 s; peak memory 1306 MiB.
2026-09-17T17:12:07Z INFO [131/500] 02946b87-acda-4ee1-8dc5-19939ec7b787: 755 datasets; 9.8 s; peak memory 1306 MiB.
2026-09-17T17:12:09Z INFO [132/500] 02949b71-7360-4a8f-9b81-9f51282f8e5c: 112 datasets; 1.4 s; peak memory 1306 MiB.
2026-09-17T17:12:10Z INFO [133/500] 0294e0a5-df23-4bd9-bb5f-f1660afbbc22: 112 datasets; 1.3 s; peak memory 1306 MiB.
2026-09-17T17:12:11Z INFO [134/500] 02950439-2230-46aa-bae8-d7ee63bff896: 48 datasets; 0.9 s; peak memory 1306 MiB.
2026-09-17T17:12:14Z INFO [135/500] 02954af6-e78d-4cde-8f65-e57e804b4eb1: 502 datasets; 2.8 s; peak memory 1306 MiB.
2026-09-17T17:12:15Z INFO [136/500] 02954c97-270f-4783-8d50-1017070272e0: 69 datasets; 1.1 s; peak memory 1306 MiB.
2026-09-17T17:12:16Z INFO [137/500] 02959882-f6a0-4953-8315-ae122f73ee3e: 45 datasets; 1.1 s; peak memory 1306 MiB.
2026-09-17T17:12:17Z INFO [138/500] 0295bd30-d875-4221-8bf9-fd26a50e4730: 64 datasets; 1.3 s; peak memory 1306 MiB.
2026-09-17T17:12:18Z INFO [139/500] 02966e4b-e374-497b-a978-f323a372b4da: 56 datasets; 0.8 s; peak memory 1306 MiB.
2026-09-17T17:12:20Z INFO [140/500] 0297c5f6-6d74-4df9-9180-0a63573ad406: 532 datasets; 2.0 s; peak memory 1306 MiB.
2026-09-17T17:12:21Z INFO [141/500] 02995666-ca83-462e-8955-8cade5c9dad0: 78 datasets; 1.1 s; peak memory 1306 MiB.
2026-09-17T17:12:22Z INFO [142/500] 0299a00d-47db-4aa9-b708-b4428c271107: 289 datasets; 1.2 s; peak memory 1306 MiB.
2026-09-17T17:12:23Z INFO [143/500] 0299aacd-4811-437f-9539-54feaa63e240: 42 datasets; 0.9 s; peak memory 1306 MiB.
2026-09-17T17:12:33Z INFO [144/500] 0299de1d-65a8-49d3-b61e-68a329ec7256: 965 datasets; 9.2 s; peak memory 1306 MiB.
2026-09-17T17:12:44Z INFO [145/500] 029aded6-3070-4d1f-a252-41fad264a6fe: 1523 datasets; 11.8 s; peak memory 1306 MiB.
2026-09-17T17:12:45Z INFO [146/500] 029bf697-4540-4395-b264-3edb210470a8: 35 datasets; 0.9 s; peak memory 1306 MiB.
2026-09-17T17:12:47Z INFO [147/500] 029d5a86-0e9b-418c-813b-ffb02539af15: 112 datasets; 1.5 s; peak memory 1306 MiB.
2026-09-17T17:34:34Z INFO [148/500] 029d6050-dc13-418b-97a3-bbfbd958e998: 232 datasets; 1306.9 s; peak memory 1306 MiB.
2026-09-17T17:34:35Z INFO [149/500] 029d681f-5887-4e88-9d28-627bd08d5723: 117 datasets; 1.2 s; peak memory 1306 MiB.
2026-09-17T17:34:36Z INFO [150/500] 029e9a5f-0496-4bb0-a829-867ab99f8839: 78 datasets; 1.1 s; peak memory 1306 MiB.
2026-09-17T17:34:36Z INFO [150/500] 029e9a5f-0496-4bb0-a829-867ab99f8839: checkpointed 48180 records.
2026-09-17T17:36:13Z INFO [151/500] 029ea7e2-96c1-4daa-bed3-0251b54fc56e: 430 datasets; 96.7 s; peak memory 1306 MiB.
2026-09-17T17:36:14Z INFO [152/500] 029ecb06-e88c-4b7b-99f8-f434c257921c: 110 datasets; 1.1 s; peak memory 1306 MiB.
2026-09-17T17:36:22Z INFO [153/500] 02a17d04-270c-4fbf-9736-b02f5edc72bc: 974 datasets; 8.6 s; peak memory 1306 MiB.
2026-09-17T17:36:24Z INFO [154/500] 02a1d9ba-34cf-4ec3-9da4-a6d09389448f: 48 datasets; 1.1 s; peak memory 1306 MiB.
2026-09-17T17:36:26Z INFO [155/500] 02a24b84-5179-429c-8e97-d03da5ecbcb1: 156 datasets; 2.7 s; peak memory 1306 MiB.
2026-09-17T17:36:27Z INFO [156/500] 02a2d86b-f848-4846-9e29-d92b8cbc38d2: 112 datasets; 1.2 s; peak memory 1306 MiB.
2026-09-17T17:36:28Z INFO [157/500] 02a32839-becd-4722-9c93-59e02da90002: 84 datasets; 0.9 s; peak memory 1306 MiB.
2026-09-17T17:36:30Z INFO [158/500] 02a37861-2b09-4c07-8421-2ffa0a97102e: 78 datasets; 1.4 s; peak memory 1306 MiB.
2026-09-17T17:36:31Z INFO [159/500] 02a40a80-742a-424e-8e01-7cda99237e8e: 48 datasets; 1.0 s; peak memory 1306 MiB.
2026-09-17T17:36:32Z INFO [160/500] 02a42b1f-1cf4-436f-9320-c7d937bad4fa: 48 datasets; 1.0 s; peak memory 1306 MiB.
2026-09-17T17:36:32Z INFO [161/500] 02a5842f-430f-4b12-a276-798dd69ae01a: 54 datasets; 0.7 s; peak memory 1306 MiB.
2026-09-17T17:36:33Z INFO [162/500] 02a6166e-28e2-4e65-b0cb-809e8a8f6cec: 118 datasets; 1.1 s; peak memory 1306 MiB.
2026-09-17T17:36:35Z INFO [163/500] 02a767b0-1fb4-4989-ad41-174aafcd972e: 117 datasets; 1.0 s; peak memory 1306 MiB.
2026-09-17T17:36:48Z INFO [164/500] 02a82567-39a8-4040-8860-17a550d6257d: 874 datasets; 13.8 s; peak memory 1306 MiB.
2026-09-17T17:36:51Z INFO [165/500] 02a87624-9c8a-4fc5-b5a4-c595629b2717: 85 datasets; 2.3 s; peak memory 1306 MiB.
2026-09-17T17:37:04Z INFO [166/500] 02a87829-cda9-4cae-a640-72d93d360e9c: 859 datasets; 13.8 s; peak memory 1306 MiB.
2026-09-17T17:37:05Z INFO [167/500] 02a9596d-8286-4034-a5bb-80b902fed0ff: 48 datasets; 1.0 s; peak memory 1306 MiB.
2026-09-17T17:37:17Z INFO [168/500] 02a95f1a-6af7-44fa-870b-540be1598e25: 8504 datasets; 11.2 s; peak memory 1306 MiB.
